1,Walmart,walmart.com,,,,,,,
2,Exxon Mobil,exxonmobil.com,,,,,,,
3,Apple,apple.com,,,,,,,
4,Berkshire Hathaway,berkshirehathaway.com,,,,,,,
5,McKesson,mckesson.com,,,,,,,
6,UnitedHealth Group,unitedhealthgroup.com,,,,,,,
7,CVS Health,cvshealth.com,,,,,,,
8,General Motors,gm.com,,,,,,,
9,Ford Motor,ford.com,,,,,,,
10,AT&T,att.com,,,,,,,
11,General Electric,ge.com,,,,,,,
12,AmerisourceBergen,amerisourcebergen.com,,,,,,,
13,Verizon,verizon.com,,,,,,,
14,Chevron,chevron.com,,,,,,,
15,Costco,costco.com,,,,,,,
16,Fannie Mae,fanniemae.com,,,,,,,
17,Kroger,kroger.com,,,,,,,
18,Amazon.com,amazon.com,,,,,,,
19,Walgreens,walgreens.com,,,,,,,
19,Boots,boots.com,,,,,,,
20,HP,hp.com,,,,,,,
21,Cardinal Health,cardinal.com,,,,,,,
22,Express Scripts Holding,express-scripts.com,,,,,,,
23,J.P. Morgan Chase,jpmorgan.com,,,,,,,
24,Boeing,boeing.com,,,,,,,
25,Microsoft,microsoft.com,,,,,,,
26,Bank of America Corp.,bankofamerica.com,,,,,,,
27,Wells Fargo,wellsfargo.com,,,,,,,
28,Home Depot,homedepot.com,,,,,,,
29,Citigroup,citi.com,,,,,,,
30,Phillips 66,p66.com,,,,,,,
31,IBM,ibm.com,,,,,,,
32,Valero Energy,valero.com,,,,,,,
33,Anthem,anthem.com,,,,,,,
34,Procter & Gamble,pg.com,,,,,,,
35,State Farm Insurance Cos.,statefarm.com,,,,,,,
36,Alphabet,google.com,,,,,,,
37,Comcast,comcast.com,,,,,,,
38,Target,target.com,,,,,,,
39,Johnson & Johnson,jnj.com,,,,,,,
40,MetLife,metlife.com,,,,,,,
41,Archer Daniels Midland,adm.com,,,,,,,
42,Marathon Petroleum,marathonpetroleum.com,,,,,,,
43,Freddie Mac,freddiemac.com,,,,,,,
44,PepsiCo,pepsico.com,,,,,,,
45,United Technologies,utc.com,,,,,,,
46,Aetna,aetna.com,,,,,,,
47,LoweÕs,lowes.com,,,,,,,
48,UPS,ups.com,,,,,,,
49,AIG,aig.com,,,,,,,
50,Prudential Financial,prudential.com,,,,,,,
51,Intel,intel.com,,,,,,,
52,Humana,humana.com,,,,,,,
53,Disney,disney.com,,,,,,,
54,Cisco Systems,cisco.com,,,,,,,
55,Pfizer,pfizer.com,,,,,,,
56,Dow Chemical,dow.com,,,,,,,
57,Sysco,sysco.com,,,,,,,
58,FedEx,fedex.com,,,,,,,
59,Caterpillar,cat.com,,,,,,,
60,Lockheed Martin,lmco.com,,,,,,,
61,New York Life Insurance,newyorklife.com,,,,,,,
62,Coca-Cola,coca-cola.com,,,,,,,
63,HCA Holdings,hcahealthcare.com,,,,,,,
64,Ingram Micro,ingrammicro.com,,,,,,,
65,Energy Transfer Equity,energytransfer.com,,,,,,,
66,Tyson Foods,tyson.com,,,,,,,
67,American Airlines Group,aa.com,,,,,,,
68,Delta Air Lines,delta.com,,,,,,,
69,Nationwide,nationwide.com,,,,,,,
70,Johnson Controls,jci.com,,,,,,,
71,Best Buy,bestbuy.com,,,,,,,
72,Merck,merck.com,,,,,,,
73,Liberty Mutual Insurance Group,lmig.com,,,,,,,
74,Goldman Sachs Group,gs.com,,,,,,,
75,Honeywell International,honeywell.com,,,,,,,
76,Massachusetts Mutual Life Insurance,massmutual.com,,,,,,,
77,Oracle,oracle.com,,,,,,,
78,Morgan Stanley,morganstanley.com,,,,,,,
79,Cigna,cigna.com,,,,,,,
80,United Continental Holdings,ual.com,,,,,,,
81,Allstate,allstate.com,,,,,,,
82,TIAA,tiaa.org,,,,,,,
83,INTL FCStone,intlfcstone.com,,,,,,,
85,American Express,aexp.com,,,,,,,
86,Gilead Sciences,gilead.com,,,,,,,
87,Publix Super Markets,publix.com,,,,,,,
88,General Dynamics,gendyn.com,,,,,,,
89,TJX,tjx.com,,,,,,,
90,ConocoPhillips,conocophillips.com,,,,,,,
91,Nike,nike.com,,,,,,,
92,World Fuel Services,wfscorp.com,,,,,,,
93,3M,3m.com,,,,,,,
95,Exelon,exeloncorp.com,,,,,,,
96,Twenty-First Century Fox,21cf.com,,,,,,,
97,Deere,johndeere.com,,,,,,,
98,Tesoro,tsocorp.com,,,,,,,
99,Time Warner,timewarner.com,,,,,,,
100,Northwestern Mutual,northwesternmutual.com,,,,,,,
101,DuPont,dupont.com,,,,,,,
102,Avnet,avnet.com,,,,,,,
103,MacyÕs,macys.com,,,,,,,
104,Enterprise Products Partners,eprod.com,,,,,,,
105,Travelers Cos.,spt.com,,,,,,,
106,Philip Morris International,pmi.com,,,,,,,
107,Rite Aid,riteaid.com,,,,,,,
108,Tech Data,techdata.com,,,,,,,
109,McDonaldÕs,mcdonalds.com,,,,,,,
110,Qualcomm,qualcomm.com,,,,,,,
111,Sears Holdings,searsholdings.com,,,,,,,
,Sears Holdings,sears.com,,,,,,,
112,Capital One Financial,capitalone.com,,,,,,,
113,EMC,emc.com,,,,,,,
114,USAA,usaa.com,,,,,,,
115,Duke Energy,duke-energy.com,,,,,,,
116,Time Warner Cable,twc.com,,,,,,,
117,Halliburton,halliburton.com,,,,,,,
118,Northrop Grumman,ngc.com,,,,,,,
119,Arrow Electronics,arrow.com,,,,,,,
120,Raytheon,raytheon.com,,,,,,,
121,Plains GP Holdings,plainsallamerican.com,,,,,,,
122,US Foods Holding,usfoods.com,,,,,,,
123,AbbVie,abbvie.com,,,,,,,
124,Centene,centene.com,,,,,,,
125,Community Health Systems,chs.net,,,,,,,
126,Alcoa,alcoa.com,,,,,,,
127,International Paper,ipaper.com,,,,,,,
128,Emerson Electric,emerson.com,,,,,,,
129,Union Pacific,up.com,,,,,,,
130,Amgen,amgen.com,,,,,,,
131,U.S. Bancorp,usbank.com,,,,,,,
132,Staples,staples.com,,,,,,,
133,Danaher,danaher.com,,,,,,,
134,Whirlpool,whirlpool.com,,,,,,,
135,Aflac,aflac.com,,,,,,,
136,AutoNation,autonation.com,,,,,,,
137,Progressive,progressive.com,,,,,,,
138,Abbott Laboratories,abbott.com,,,,,,,
139,Dollar General,dollargeneral.com,,,,,,,
140,Tenet Healthcare,tenethealth.com,,,,,,,
141,Eli Lilly,lilly.com,,,,,,,
142,Southwest Airlines,southwest.com,,,,,,,
,Penske Automotive Group,penske.com,,,,,,,
144,ManpowerGroup,manpower.com,,,,,,,
145,Kohls,kohlscorporation.com,,,,,,,
,Kohls,kohls.com,,,,,,,
146,Starbucks,starbucks.com,,,,,,,
147,Paccar,paccar.com,,,,,,,
148,Cummins,cummins.com,,,,,,,
149,Altria Group,altria.com,,,,,,,
150,Xerox,xerox.com,,,,,,,
151,Kimberly-Clark,kimberly-clark.com,,,,,,,
152,Hartford Financial Services Group,thehartford.com,,,,,,,
153,Kraft Heinz,kraftheinzcompany.com,,,,,,,
,Kraft Heinz,kraft.com,,,,,,,
,Kraft Heinz,heinz.com,,,,,,,
154,Lear,lear.com,,,,,,,
155,Fluor,fluor.com,,,,,,,
156,AECOM,aecom.com,,,,,,,
157,Facebook,facebook.com,,,,,,,
158,Jabil Circuit,jabil.com,,,,,,,
159,CenturyLink,centurylink.com,,,,,,,
160,Supervalu,supervalu.com,,,,,,,
161,General Mills,genmills.com,,,,,,,
162,Southern,southerncompany.com,,,,,,,
163,NextEra Energy,nexteraenergy.com,,,,,,,
164,Thermo Fisher Scientific,thermofisher.com,,,,,,,
165,American Electric Power,aep.com,,,,,,,
166,PG&E Corp.,pge.com,,,,,,,
167,NGL Energy Partners,nglep.com,,,,,,,
168,Bristol-Myers Squibb,bms.com,,,,,,,
169,Goodyear Tire & Rubber,goodyear.com,,,,,,,
170,Nucor,nucor.com,,,,,,,
171,PNC Financial Services Group,pnc.com,,,,,,,
172,Health Net,healthnet.com,,,,,,,
173,Micron Technology,micron.com,,,,,,,
174,Colgate-Palmolive,colgatepalmolive.com,,,,,,,
175,Freeport-McMoRan,fmi.com,,,,,,,
176,ConAgra Foods,conagrafoods.com,,,,,,,
177,Gap,gapinc.com,,,,,,,
178,Baker Hughes,bhi-net.com,,,,,,,
179,Bank of New York Mellon Corp.,bnymellon.com,,,,,,,
180,Dollar Tree,dollartree.com,,,,,,,
181,Whole Foods Market,wholefoods.com,,,,,,,
182,PPG Industries,ppg.com,,,,,,,
183,Genuine Parts,genpt.com,,,,,,,
184,Icahn Enterprises,ielp.com,,,,,,,
185,Performance Food Group,pfgc.com,,,,,,,
186,Omnicom Group,omnicomgroup.com,,,,,,,
187,DISH Network,dish.com,,,,,,,
188,FirstEnergy,firstenergycorp.com,,,,,,,
189,Monsanto,monsanto.com,,,,,,,
190,AES,aes.com,,,,,,,
191,CarMax,carmax.com,,,,,,,
192,National Oilwell Varco,nov.com,,,,,,,
193,NRG Energy,nrgenergy.com,,,,,,,
194,Western Digital,wdc.com,,,,,,,
195,Marriott International,marriott.com,,,,,,,
196,Office Depot,officedepot.com,,,,,,,
197,Nordstrom,nordstrom.com,,,,,,,
198,Kinder Morgan,kindermorgan.com,,,,,,,
199,Aramark,aramark.com,,,,,,,
200,DaVita HealthCare Partners,davita.com,,,,,,,
201,Molina Healthcare,molinahealthcare.com,,,,,,,
202,WellCare Health Plans,wellcare.com,,,,,,,
203,CBS,cbs.com,,,,,,,
204,Visa,visa.com,,,,,,,
205,Lincoln National,lfg.com,,,,,,,
206,Ecolab,ecolab.com,,,,,,,
207,Kellogg,kellogg.com,,,,,,,
208,C.H. Robinson Worldwide,chrobinson.com,,,,,,,
209,Textron,textron.com,,,,,,,
210,Loews,loews.com,,,,,,,
211,Illinois Tool Works,itw.com,,,,,,,
212,Synnex,synnex.com,,,,,,,
213,Viacom,viacom.com,,,,,,,
214,HollyFrontier,hollyfrontier.com,,,,,,,
215,Land O Lakes,landolakes.com,,,,,,,
